Folder,TOPS/W,Cycles,Computes,pJ_LMAC,pJ_PEWeightRegs,pJ_PEAccuBuffer,pJ_PEInputBuffer,pJ_GlobalBuffer,pJ_DRAM,pJ/Compute,Energy,Utilization,EDP
VGG01_layer6,44.06196213425129,7225344,1849688064,2.34,0.15,1.26,1.05,0.53,0.48,5.81,10739.38,1.0,77600.0
VGG01_layer5,42.524916943521596,3612672,924844032,2.34,0.15,1.26,0.84,0.81,0.61,6.02,5569.11,1.0,20100.0
