Folder,TOPS/W,Cycles,Computes,pJ_LMAC,pJ_PEWeightRegs,pJ_PEAccuBuffer,pJ_PEInputBuffer,pJ_GlobalBuffer,pJ_DRAM,pJ/Compute,Energy,Utilization,EDP
AlexNet_layer4,30.880579010856458,876096,224280576,4.13,0.16,0.63,1.48,1.15,0.74,8.29,1859.52,1.0,1630.0
AlexNet_layer7_FC,0.1291359117638528,1398784,16777216,4.13,0.29,1.25,0.65,24.13,62.43,92.88,1558.34,0.05,2180.0
AlexNet_layer2,21.01806239737274,1749600,447897600,4.13,0.19,0.64,1.85,4.59,0.78,12.18,5457.53,1.0,9550.0
AlexNet_layer8_FC,0.1288996436228221,341758,4096000,4.13,0.29,0.63,1.3,24.15,62.48,92.98,380.84,0.05,130.0
AlexNet_layer6_FC,0.12898946241515408,3149142,37748736,4.13,0.29,1.25,0.64,24.15,62.47,92.93,3508.16,0.05,11000.0
AlexNet_layer5,27.765726681127983,584064,149520384,4.13,0.16,0.66,1.75,1.7,0.82,9.22,1378.62,1.0,805.0
AlexNet_layer1,17.874875868917577,585640,105415200,4.13,0.29,1.67,0.79,2.9,0.28,10.07,1061.44,0.7,622.0
AlexNet_layer3,12.178877259752618,584064,149520384,4.13,0.29,2.51,0.35,13.26,0.49,21.02,3143.51,1.0,1840.0
