Folder,TOPS/W,Cycles,Computes,pJ_LMAC,pJ_PEWeightRegs,pJ_PEAccuBuffer,pJ_PEInputBuffer,pJ_GlobalBuffer,pJ_DRAM,pJ/Compute,Energy,Utilization,EDP,Configuration
AlexNet_layer6_FC,0.1312492143024227,3149142,37748736,2.52,0.29,1.25,0.64,24.15,62.47,91.33,3447.5,0.05,10900.0,5b3e
AlexNet_layer4,38.208955223880594,876096,224280576,2.54,0.16,0.63,1.48,1.15,0.74,6.7,1502.69,1.0,1320.0,6b4e
AlexNet_layer7_FC,0.1313850748671995,1398784,16777216,2.54,0.29,1.25,0.65,24.13,62.43,91.29,1531.65,0.05,2140.0,6b4e
AlexNet_layer2,24.450811843361983,1749600,447897600,2.42,0.19,0.64,1.85,4.59,0.78,10.47,4689.84,1.0,8210.0,7b4e
AlexNet_layer3,13.257379596064215,584064,149520384,2.42,0.29,2.51,0.35,13.26,0.49,19.31,2887.54,1.0,1690.0,8b4e
AlexNet_layer1,20.761245674740486,585640,105415200,2.74,0.29,1.67,0.79,2.9,0.28,8.67,914.39,0.7,536.0,9b4e
AlexNet_layer5,32.20125786163522,584064,149520384,2.86,0.16,0.66,1.75,1.7,0.82,7.95,1188.58,1.0,694.0,10b6e
AlexNet_layer8_FC,0.1294006571372273,341758,4096000,3.77,0.29,0.63,1.3,24.15,62.48,92.62,379.38,0.05,130.0,15b4e
