Folder,TOPS/W,Cycles,Computes,pJ_LMAC,pJ_PEWeightRegs,pJ_PEAccuBuffer,pJ_PEInputBuffer,pJ_GlobalBuffer,pJ_DRAM,pJ/Compute,Energy,Utilization,EDP
AlexNet_layer4,38.208955223880594,876096,224280576,2.54,0.16,0.63,1.48,1.15,0.74,6.7,1502.69,1.0,1320.0
AlexNet_layer7_FC,0.13138507486719952,1398784,16777216,2.54,0.29,1.25,0.65,24.13,62.43,91.29,1531.65,0.05,2140.0
